Agent,Scenario,FeatureIdx,FeatureName,Partition_MeanAbsSHAP,Kernel_MeanAbsSHAP,Partition_rank,Kernel_rank
A2C_mod,EASY,594,waste_feat_SKU154,0.00010464938411669762,2.611358486254868e-10,189,396
A2C_mod,EASY,595,waste_feat_SKU155,0.00010464938411669759,3.501675337135135e-08,616,253
A2C_mod,EASY,596,waste_feat_SKU156,0.0001046493841166976,0.0,302,627
A2C_mod,EASY,597,waste_feat_SKU157,0.00010464938411669759,0.0,623,628
A2C_mod,EASY,598,waste_feat_SKU158,0.0001046493841166976,0.0,303,629
A2C_mod,EASY,599,waste_feat_SKU159,0.00010464938411669762,0.0,203,630
A2C_mod,EASY,600,waste_feat_SKU160,0.00010464938411669759,1.4279705192725757e-09,622,380
A2C_mod,EASY,601,waste_feat_SKU161,0.00010464938411669762,0.00020181696895574152,202,88
A2C_mod,EASY,602,waste_feat_SKU162,0.0001046493841166976,1.8280715822854183e-12,304,435
A2C_mod,EASY,603,waste_feat_SKU163,0.0001046493841166976,0.0,305,631
A2C_mod,EASY,604,waste_feat_SKU164,0.00010464938411669759,0.0,621,632
A2C_mod,EASY,605,waste_feat_SKU165,0.00010464938411669762,5.4733915236710254e-08,201,218
A2C_mod,EASY,606,waste_feat_SKU166,0.0001046493841166976,0.0,306,633
A2C_mod,EASY,607,waste_feat_SKU167,0.00010464938411669763,2.707814770065598e-10,38,393
A2C_mod,EASY,608,waste_feat_SKU168,0.00010464938411669762,0.0,200,610
A2C_mod,EASY,609,waste_feat_SKU169,0.00010464938411669763,1.4064656730227787e-09,40,381
A2C_mod,EASY,610,waste_feat_SKU170,0.0001046493841166976,2.2625107660859417e-07,397,106
A2C_mod,EASY,611,waste_feat_SKU171,0.00010464938411669759,9.79432540204151e-08,543,151
A2C_mod,EASY,612,waste_feat_SKU172,0.00010464938411669759,0.001689857122938668,541,2
A2C_mod,EASY,613,waste_feat_SKU173,0.00010464938411669762,2.056208950172431e-08,197,308
A2C_mod,EASY,614,waste_feat_SKU174,0.00010464938411669758,3.162963885344908e-08,659,274
A2C_mod,EASY,615,waste_feat_SKU175,0.00010464938411669762,0.0,196,647
A2C_mod,EASY,616,waste_feat_SKU176,0.00010464938411669759,0.0,540,648
A2C_mod,EASY,617,waste_feat_SKU177,0.00010464938411669758,0.0,658,649
A2C_mod,EASY,618,waste_feat_SKU178,0.0001046493841166976,6.97446723368173e-08,311,186
A2C_mod,EASY,619,waste_feat_SKU179,0.00010464938411669762,1.936597240466271e-08,195,310
A2C_mod,EASY,620,waste_feat_SKU180,0.0001046493841166976,1.497912696523273e-07,312,118
A2C_mod,EASY,621,waste_feat_SKU181,0.00010464938411669759,8.685390118321354e-12,539,432
